region_code,location_key,location_name
K,Bolifushi_Resort,Bolifushi Resort
K,CocoPalm_Boduhithi_Resort,CocoPalm Boduhithi Resort
K,Cocoa_Island_Resort,Cocoa Island Resort
K,Dhiffushi,Dhiffushi
K,Enboodhoo_Resort,Enboodhoo Resort
K,Eriyadhoo_Resort,Eriyadhoo Resort
K,Fihalhohi_Island_Resort,Fihalhohi Island Resort
K,Full_Moon_Resort,Full Moon Resort
K,Fun_Island_Resort,Fun Island Resort
K,Gaafaru,Gaafaru
K,Gasfinolhu_Resort,Gasfinolhu Resort
K,Gili_Lankanfushi_Resort,Gili Lankanfushi Resort
K,Gulhi,Gulhi
K,GulhiFalhu,GulhiFalhu
K,Guraidhoo,Guraidhoo
K,Helengeli_Resort,Helengeli Resort
K,Himmafushi,Himmafushi
K,Hudhuranfushi_Resort,Hudhuranfushi Resort
K,Hulhumale,Hulhumale
K,Hulhumale_Autism_Center,Hulhumale Autism Center
K,Hulhumale_DRG,Hulhumale DRG
K,Hulhumale_HDC,Hulhumale HDC
K,Hulhumale_Javaahiru_Eleven,Hulhumale Javaahiru Eleven
K,Hulhumale_LOT10084,Hulhumale LOT10084
K,Hulhumale_LOT10977,Hulhumale LOT10977
K,Hulhumale_LOT11185,Hulhumale LOT11185
K,Hulhumale_MSC_Test,Hulhumale MSC Test
K,Hulhumale_Marina_View,Hulhumale Marina View
K,Hulhumale_PH2_Farukolhu,Hulhumale PH2 Farukolhu
K,Hulhumale_PH2_H1,Hulhumale PH2 H1
K,Hulhumale_PH2_H12,Hulhumale PH2 H12
K,Hulhumale_PH2_H13,Hulhumale PH2 H13
K,Hulhumale_PH2_TreeTower,Hulhumale PH2 TreeTower
K,Hulhumale_Warehouse,Hulhumale Warehouse
K,Huraa,Huraa
K,Huvafenfushi_Resort,Huvafenfushi Resort
K,Ihuru_Resort,Ihuru Resort
K,Ithaafushi_Resort,Ithaafushi Resort
K,Kaashidhoo,Kaashidhoo
K,Kandoomaa_Resort,Kandoomaa Resort
K,KudaBandos_Resort,KudaBandos Resort
K,Kudahuraa_Resort,Kudahuraa Resort
K,Kudavilingili_Resort,Kudavilingili Resort
K,Kurumbaa_Resort,Kurumbaa Resort
K,Maadhoofinolhu_Resort,Maadhoofinolhu Resort
K,Maafushi,Maafushi
K,Maafushi_Leisure_Boutique,Maafushi Leisure Boutique
K,Madivaru_Resort,Madivaru Resort
K,Male_Airport,Male Airport
K,Male_Airport_ATC,Male Airport ATC
K,Male_Airport_IBS,Male Airport IBS
K,Male_Airport_MNDF,Male Airport MNDF
K,Male_Airport_WS,Male Airport WS
K,Meeru_Island_Resort,Meeru Island Resort
K,Olhuveli_Resort,Olhuveli Resort
K,Paradise_Resort,Paradise Resort
K,RadhunDhonfushi_Resort,RadhunDhonfushi Resort
K,RadhunMaaranfushi_Resort,RadhunMaaranfushi Resort
K,Rannalhi_Resort,Rannalhi Resort
K,Rasfushi_Resort,Rasfushi Resort
K,Reethi_Rah_Resort,Reethi Rah Resort
K,Rihiveli_Resort,Rihiveli Resort
K,Summer_Island_Resort,Summer Island Resort
K,Taj_Coral_Resort,Taj Coral Resort
K,Taj_Exotica_Resort,Taj Exotica Resort
K,Thilafushi,Thilafushi
K,Thilafushi_MTCC,Thilafushi MTCC
K,Thulhaagiri_Resort,Thulhaagiri Resort
K,Thulusdhoo,Thulusdhoo
K,Thumbafushi,Thumbafushi
K,Vaadhoo_Resort,Vaadhoo Resort
K,Vabbinfaru_Resort,Vabbinfaru Resort
K,Velassaru_Resort,Velassaru Resort
K,Viligili,Viligili
K,Viligili_Shima,Viligili Shima
L,Dhanbidhoo,Dhanbidhoo
L,Fonadhoo,Fonadhoo
L,Fonadhoo_2,Fonadhoo 2
L,Gamu,Gamu
L,Gamu_Mathimaradhoo,Gamu Mathimaradhoo
L,Gamu_Mukurimagu,Gamu Mukurimagu
L,Gamu_Thundi,Gamu Thundi
L,Hithadhoo,Hithadhoo
L,Isdhoo,Isdhoo
L,Kadhdhoo_Airport,Kadhdhoo Airport
L,Kalaidhoo,Kalaidhoo
L,Kunahandhoo,Kunahandhoo
L,Latitude_Resort,Latitude Resort
L,Maabaidhoo,Maabaidhoo
L,Maamendhoo,Maamendhoo
L,Maandhoo,Maandhoo
L,Maavah,Maavah
Lh,Felivaru,Felivaru
Lh,Hinnavaru,Hinnavaru
Lh,Kanifushi_Beach_Resort,Kanifushi Beach Resort
Lh,Kanuhuraa_Resort,Kanuhuraa Resort
Lh,Komandoo_Resort,Komandoo Resort
Lh,Kuredhdhoo_Resort,Kuredhdhoo Resort
Lh,Kurendhoo,Kurendhoo
Lh,Maafilaafushi,Maafilaafushi
Lh,Naifaru,Naifaru
Lh,Olhuvelifushi,Olhuvelifushi
Lh,Ookolhufinolhu_Resort,Ookolhufinolhu Resort
Lh,Palm_Beach_Resort,Palm Beach Resort
M,Dhiggaru,Dhiggaru
M,Hakuraahuraa_Resort,Hakuraahuraa Resort
M,Kolhufushi,Kolhufushi
M,Medhufushi_Resort,Medhufushi Resort
M,Mulah,Mulah
M,Naalaafushi,Naalaafushi
Male,Aakakaage,Aakakaage
Male,Ageedhuge,Ageedhuge
Male,Bolissafaru,Bolissafaru
Male,Crimson_Rose,Crimson Rose
Male,Dhonannaruge,Dhonannaruge
Male,East_Light,East Light
Male,Fashan,Fashan
Male,Fin,Fin
Male,Four_Lights,Four Lights
Male,Frenzy,Frenzy
Male,GreenFehi,GreenFehi
Male,Hazaarumaage,Hazaarumaage
Male,Kashmeeru_Vaadhee,Kashmeeru Vaadhee
Male,Leela_Manzil,Leela Manzil
Male,Loajehi_Palace,Loajehi Palace
Male,Lunchmead,Lunchmead
Male,MPA,MPA
Male,MWSC,MWSC
Male,Maalhuveli,Maalhuveli
Male,Malehiya,Malehiya
Male,Mirihimaage,Mirihimaage
Male,Noohiri,Noohiri
Male,PA_Complex,PA Complex
Male,Perisge,Perisge
Male,Radio_Building,Radio Building
Male,Saimaa,Saimaa
Male,Samandharu,Samandharu
Male,Send_Rose,Send Rose
Male,Shafaq,Shafaq
Male,Sony,Sony
Male,Sunleet,Sunleet
Male,Velaanaage_IBS,Velaanaage IBS
N,Fodhdhoo,Fodhdhoo
N,Fushivelavaru_Resort,Fushivelavaru Resort
N,Henbadhoo,Henbadhoo
N,Holhudhoo,Holhudhoo
N,Irufushi_Resort,Irufushi Resort
N,Kendhikolhudhoo,Kendhikolhudhoo
N,Kudafari,Kudafari
N,Kudafunafaru_Resort,Kudafunafaru Resort
N,Kulhudhoo,Kulhudhoo
N,Landhoo,Landhoo
N,Lhohi,Lhohi
N,Maafaru,Maafaru
N,Maalhendhoo,Maalhendhoo
N,Manadhoo,Manadhoo
N,Miladhoo,Miladhoo
N,Randheli_Resort,Randheli Resort
N,Velidhoo,Velidhoo
R,Alifushi,Alifushi
R,Angolhitheemu,Angolhitheemu
R,Dhuvaafaru,Dhuvaafaru
R,Fainu,Fainu
R,Hulhudhuffaaru,Hulhudhuffaaru
R,Huruvalhi_Resort,Huruvalhi Resort
R,Inguraidhoo,Inguraidhoo
R,Innamaadhoo,Innamaadhoo
R,Kinolhas,Kinolhas
R,Maakurathu,Maakurathu
R,Maamigili_Resort,Maamigili Resort
R,Maduvvaree,Maduvvaree
R,Meedhoo,Meedhoo
R,Meedhupparu_Resort,Meedhupparu Resort
R,Rasgetheem,Rasgetheem
R,Rasmaadhoo,Rasmaadhoo
R,Reethifaru_Resort,Reethifaru Resort
R,Ungoofaaru,Ungoofaaru
R,Vaadhoo,Vaadhoo
S,Feydhoo,Feydhoo
S,Feydhoo_Dhekunuge,Feydhoo Dhekunuge
S,GAN_MNDF,GAN MNDF
S,Gan_Airport,Gan Airport
S,Herathera_2_Resort,Herathera 2 Resort
S,Herathera_Resort,Herathera Resort
S,Hithadhoo,Hithadhoo
S,Hithadhoo_2,Hithadhoo 2
S,Hithadhoo_Hulhanguge,Hithadhoo Hulhanguge
S,Hithadhoo_Thousand_Flower,Hithadhoo Thousand Flower
S,Hulhudhoo,Hulhudhoo
S,Maradhoo,Maradhoo
S,MaradhooFeydhoo_Rosemead,MaradhooFeydhoo Rosemead
S,Meedhoo,Meedhoo
S,Viligili_Resort,Viligili Resort
Sh,Bilehfahi,Bilehfahi
Sh,Feevah,Feevah
Sh,Feydhoo,Feydhoo
Sh,Foakaidhoo,Foakaidhoo
Sh,Funadhoo,Funadhoo
Sh,Goidhoo,Goidhoo
Sh,Kanditheemu,Kanditheemu
Sh,Komandoo,Komandoo
Sh,Lhaimagu,Lhaimagu
Sh,Maaungoodhoo,Maaungoodhoo
Sh,Maroshi,Maroshi
Sh,Milandhoo,Milandhoo
Sh,Noomaraa,Noomaraa
Sh,Vagaru_Resort,Vagaru Resort
Th,Buruni,Buruni
Th,Dhiyamigili,Dhiyamigili
Th,Gaadhiffushi,Gaadhiffushi
Th,Guraidhoo,Guraidhoo
Th,Hirilandhoo,Hirilandhoo
Th,Kandoodhoo,Kandoodhoo
Th,Kinbidhoo,Kinbidhoo
Th,Maalefushi_Resort,Maalefushi Resort
Th,Madifushi,Madifushi
Th,Omadhoo,Omadhoo
Th,Thimarafushi,Thimarafushi
Th,Veymandoo,Veymandoo
Th,Vilufushi,Vilufushi
V,Felidhoo,Felidhoo
V,Fulidhoo,Fulidhoo
V,Keyodhoo,Keyodhoo
V,Rakeedhoo,Rakeedhoo
