region_code,location_key,site_number,site_code,display_name
F,Bileddhoo,3201,F_3201_Bileddhoo,F 3201 Bileddhoo
F,Feeali,3202,F_3202_Feeali,F 3202 Feeali
F,Filitheyo_Resort,3205,F_3205_Filitheyo_Resort,F 3205 Filitheyo Resort
F,Magoodhoo,3204,F_3204_Magoodhoo,F 3204 Magoodhoo
F,Nilandhoo,3203,F_3203_Nilandhoo,F 3203 Nilandhoo
GA,Dhaandhoo,4109,GA_4109_Dhaandhoo,GA 4109 Dhaandhoo
GA,Dhevvadhoo,4101,GA_4101_Dhevvadhoo,GA 4101 Dhevvadhoo
GA,Dhigurah_Resort,4137,GA_4137_Dhigurah_Resort,GA 4137 Dhigurah Resort
GA,Gemanafushi,4107,GA_4107_Gemanafushi,GA 4107 Gemanafushi
GA,Hadahaa_Resort,4113,GA_4113_Hadahaa_Resort,GA 4113 Hadahaa Resort
GA,Kanduhulhudhoo,4102,GA_4102_Kanduhulhudhoo,GA 4102 Kanduhulhudhoo
GA,Kolamaafushi,4104,GA_4104_Kolamaafushi,GA 4104 Kolamaafushi
GA,Kondey,4103,GA_4103_Kondey,GA 4103 Kondey
GA,Maamendhoo,4108,GA_4108_Maamendhoo,GA 4108 Maamendhoo
GA,Meradhoo_Resort,4112,GA_4112_Meradhoo_Resort,GA 4112 Meradhoo Resort
GA,Nilandhoo,4105,GA_4105_Nilandhoo,GA 4105 Nilandhoo
GA,Robinson_Club_Resort,4114,GA_4114_Robinson_Club_Resort,GA 4114 Robinson Club Resort
GA,Viligili,4106,GA_4106_Viligili,GA 4106 Viligili
GDh,Faresmaathoda,4207,GDh_4207_Faresmaathoda,GDh 4207 Faresmaathoda
GDh,Fiyoaree,4201,GDh_4201_Fiyoaree,GDh 4201 Fiyoaree
GDh,Gadhdhoo,4204,GDh_4204_Gadhdhoo,GDh 4204 Gadhdhoo
GDh,Hoandedhdhoo,4211,GDh_4211_Hoandedhdhoo,GDh 4211 Hoandedhdhoo
GDh,Kaadeddhoo_Airport,4213,GDh_4213_Kaadeddhoo_Airport,GDh 4213 Kaadeddhoo Airport
GDh,Konotta_Resort,4216,GDh_4216_Konotta_Resort,GDh 4216 Konotta Resort
GDh,Madaveli,4202,GDh_4202_Madaveli,GDh 4202 Madaveli
GDh,Magudhdhuva_Resort,4210,GDh_4210_Magudhdhuva_Resort,GDh 4210 Magudhdhuva Resort
GDh,Nadella,4203,GDh_4203_Nadella,GDh 4203 Nadella
GDh,Rathafandhoo,4208,GDh_4208_Rathafandhoo,GDh 4208 Rathafandhoo
GDh,Thinadhoo,4205,GDh_4205_Thinadhoo,GDh 4205 Thinadhoo
GDh,Thinadhoo_Aahatha,4214,GDh_4214_Thinadhoo_Aahatha,GDh 4214 Thinadhoo Aahatha
GDh,Vaadhoo,4206,GDh_4206_Vaadhoo,GDh 4206 Vaadhoo
Gn,Fuvahmulah,4301,Gn_4301_Fuvahmulah,Gn 4301 Fuvahmulah
Gn,Fuvahmulah_2,4302,Gn_4302_Fuvahmulah_2,Gn 4302 Fuvahmulah 2
Gn,Fuvahmulah_3,4305,Gn_4305_Fuvahmulah_3,Gn 4305 Fuvahmulah 3
Gn,Fuvahmulah_Badhahi,4309,Gn_4309_Fuvahmulah_Badhahi,Gn 4309 Fuvahmulah Badhahi
Gn,Fuvahmulah_Vaanaa,4306,Gn_4306_Fuvahmulah_Vaanaa,Gn 4306 Fuvahmulah Vaanaa
