region_code,location_key,site_number,site_code,display_name
N,Velidhoo,1505,N_1505_Velidhoo,N 1505 Velidhoo
R,Alifushi,1601,R_1601_Alifushi,R 1601 Alifushi
R,Angolhitheemu,1616,R_1616_Angolhitheemu,R 1616 Angolhitheemu
R,Dhuvaafaru,1612,R_1612_Dhuvaafaru,R 1612 Dhuvaafaru
R,Fainu,1618,R_1618_Fainu,R 1618 Fainu
R,Hulhudhuffaaru,1602,R_1602_Hulhudhuffaaru,R 1602 Hulhudhuffaaru
R,Huruvalhi_Resort,1647,R_1647_Huruvalhi_Resort,R 1647 Huruvalhi Resort
R,Inguraidhoo,1603,R_1603_Inguraidhoo,R 1603 Inguraidhoo
R,Innamaadhoo,1617,R_1617_Innamaadhoo,R 1617 Innamaadhoo
R,Kinolhas,1619,R_1619_Kinolhas,R 1619 Kinolhas
R,Maakurathu,1610,R_1610_Maakurathu,R 1610 Maakurathu
R,Maamigili_Resort,1624,R_1624_Maamigili_Resort,R 1624 Maamigili Resort
R,Maduvvaree,1609,R_1609_Maduvvaree,R 1609 Maduvvaree
R,Meedhoo,1605,R_1605_Meedhoo,R 1605 Meedhoo
R,Meedhupparu_Resort,1614,R_1614_Meedhupparu_Resort,R 1614 Meedhupparu Resort
R,Rasgetheem,1611,R_1611_Rasgetheem,R 1611 Rasgetheem
R,Rasmaadhoo,1606,R_1606_Rasmaadhoo,R 1606 Rasmaadhoo
R,Reethifaru_Resort,1654,R_1654_Reethifaru_Resort,R 1654 Reethifaru Resort
R,Ungoofaaru,1607,R_1607_Ungoofaaru,R 1607 Ungoofaaru
R,Vaadhoo,1608,R_1608_Vaadhoo,R 1608 Vaadhoo
S,Feydhoo,4401,S_4401_Feydhoo,S 4401 Feydhoo
S,Feydhoo_Dhekunuge,4418,S_4418_Feydhoo_Dhekunuge,S 4418 Feydhoo Dhekunuge
S,GAN_MNDF,4432,S_4432_GAN_MNDF,S 4432 GAN MNDF
S,Gan_Airport,4405,S_4405_Gan_Airport,S 4405 Gan Airport
S,Herathera_2_Resort,4422,S_4422_Herathera_2_Resort,S 4422 Herathera 2 Resort
S,Herathera_Resort,4420,S_4420_Herathera_Resort,S 4420 Herathera Resort
S,Hithadhoo,4402,S_4402_Hithadhoo,S 4402 Hithadhoo
S,Hithadhoo_2,4403,S_4403_Hithadhoo_2,S 4403 Hithadhoo 2
S,Hithadhoo_Hulhanguge,4416,S_4416_Hithadhoo_Hulhanguge,S 4416 Hithadhoo Hulhanguge
S,Hithadhoo_Thousand_Flower,4441,S_4441_Hithadhoo_Thousand_Flower,S 4441 Hithadhoo Thousand Flower
S,Hulhudhoo,4404,S_4404_Hulhudhoo,S 4404 Hulhudhoo
S,Maradhoo,4406,S_4406_Maradhoo,S 4406 Maradhoo
S,MaradhooFeydhoo_Rosemead,4417,S_4417_MaradhooFeydhoo_Rosemead,S 4417 MaradhooFeydhoo Rosemead
S,Meedhoo,4409,S_4409_Meedhoo,S 4409 Meedhoo
S,Viligili_Resort,4407,S_4407_Viligili_Resort,S 4407 Viligili Resort
Sh,Bilehfahi,1711,Sh_1711_Bilehfahi,Sh 1711 Bilehfahi
Sh,Feevah,1701,Sh_1701_Feevah,Sh 1701 Feevah
Sh,Feydhoo,1702,Sh_1702_Feydhoo,Sh 1702 Feydhoo
Sh,Foakaidhoo,1713,Sh_1713_Foakaidhoo,Sh 1713 Foakaidhoo
Sh,Funadhoo,1703,Sh_1703_Funadhoo,Sh 1703 Funadhoo
Sh,Goidhoo,1704,Sh_1704_Goidhoo,Sh 1704 Goidhoo
Sh,Kanditheemu,1723,Sh_1723_Kanditheemu,Sh 1723 Kanditheemu
Sh,Komandoo,1705,Sh_1705_Komandoo,Sh 1705 Komandoo
Sh,Lhaimagu,1712,Sh_1712_Lhaimagu,Sh 1712 Lhaimagu
Sh,Maaungoodhoo,1707,Sh_1707_Maaungoodhoo,Sh 1707 Maaungoodhoo
Sh,Maroshi,1708,Sh_1708_Maroshi,Sh 1708 Maroshi
Sh,Milandhoo,1709,Sh_1709_Milandhoo,Sh 1709 Milandhoo
Sh,Noomaraa,1710,Sh_1710_Noomaraa,Sh 1710 Noomaraa
Sh,Vagaru_Resort,1717,Sh_1717_Vagaru_Resort,Sh 1717 Vagaru Resort
Th,Buruni,3501,Th_3501_Buruni,Th 3501 Buruni
Th,Dhiyamigili,3517,Th_3517_Dhiyamigili,Th 3517 Dhiyamigili
Th,Gaadhiffushi,3507,Th_3507_Gaadhiffushi,Th 3507 Gaadhiffushi
Th,Guraidhoo,3502,Th_3502_Guraidhoo,Th 3502 Guraidhoo
Th,Hirilandhoo,3503,Th_3503_Hirilandhoo,Th 3503 Hirilandhoo
Th,Kandoodhoo,3511,Th_3511_Kandoodhoo,Th 3511 Kandoodhoo
Th,Kinbidhoo,3504,Th_3504_Kinbidhoo,Th 3504 Kinbidhoo
Th,Maalefushi_Resort,3518,Th_3518_Maalefushi_Resort,Th 3518 Maalefushi Resort
Th,Madifushi,3508,Th_3508_Madifushi,Th 3508 Madifushi
Th,Omadhoo,3510,Th_3510_Omadhoo,Th 3510 Omadhoo
Th,Thimarafushi,3505,Th_3505_Thimarafushi,Th 3505 Thimarafushi
Th,Veymandoo,3509,Th_3509_Veymandoo,Th 3509 Veymandoo
Th,Vilufushi,3506,Th_3506_Vilufushi,Th 3506 Vilufushi
V,Felidhoo,2501,V_2501_Felidhoo,V 2501 Felidhoo
V,Fulidhoo,2502,V_2502_Fulidhoo,V 2502 Fulidhoo
V,Keyodhoo,2511,V_2511_Keyodhoo,V 2511 Keyodhoo
V,Rakeedhoo,2503,V_2503_Rakeedhoo,V 2503 Rakeedhoo
